iter	Passed	Remaining
0	261	261138
1	275	137589
2	333	11086833	369	9198044	394	78461
5	436	72318
6	460	65311
7	475	59018
8	490	5398599	504	49957110	519	46684111	534	43989112	548	41676113	562	39616114	579	38056115	594	36546116	612	35410117	632	34482118	649	33527119	671	32917220	687	32066221	704	31309222	728	30953223	747	30407224	770	30068225	792	29703226	821	29590227	856	29749228	888	29762
29	913	29535
30	942	29464
31	956	28946
32	973	28529
33	994	28252
34	1012	27916
35	1038	27810
36	1055	27483
37	1070	27089
38	1085	26756
39	1104	26515
40	1122	26262
41	1153	26315
42	1191	26526
43	1218	26465
44	1252	26582
45	1275	26461
46	1301	26391
47	1329	26376
48	1350	26201
49	1375	26127
50	1406	26166
51	1430	26082
52	1465	26192
53	1516	26563
54	1561	26824
55	1594	26872
56	1621	26832
57	1658	26937
58	1692	26997
59	1715	26881
60	1754	27010
61	1800	27240
62	1834	27290
63	1865	27283
64	1890	27200
65	1915	27101
66	1940	27021
67	1964	26919
68	1982	26746
69	2007	26677
70	2039	26686
71	2063	26593
72	2102	26700
73	2132	26686
74	2176	26840
75	2212	26896
76	2250	26971
77	2272	26861
78	2295	26761
79	2319	26672
80	2345	26611
81	2374	26584
82	2411	26643
83	2447	26689
84	2491	26822
85	2514	26727
86	2540	26659
87	2567	26612
88	2602	26643
89	2631	26607
90	2664	26611
91	2704	26691
92	2755	26871
93	2789	26887
94	2815	26823
95	2848	26825
96	2877	26786
97	2908	26765
98	2958	26925
99	2989	26901
100	3017	26855
101	3051	26868
102	3085	26874
103	3113	26826
104	3144	26804
105	3168	26720
106	3199	26701
107	3224	26628
108	3259	26647
109	3289	26617
110	3313	26539
111	3353	26591
112	3376	26500
113	3404	26463
114	3443	26500
115	3475	26487
116	3501	26426
117	3527	26364
118	3558	26341
119	3582	26273
120	3611	26235
121	3638	26187
122	3668	26159
123	3703	26165
124	3734	26141
125	3769	26143
126	3803	26148
127	3836	26137
128	3870	26132
129	3900	26105
130	3926	26045
131	3952	25991
132	3986	25984
133	4022	25993
134	4050	25952
135	4091	25991
136	4129	26009
137	4164	26015
138	4189	25948
139	4218	25914
140	4260	25955
141	4286	25902
142	4314	25856
143	4346	25838
144	4381	25837
145	4416	25831
146	4443	25782
147	4480	25790
148	4510	25762
149	4548	25772
150	4580	25756
151	4618	25766
152	4651	25750
153	4683	25729
154	4706	25655
155	4738	25635
156	4774	25634
157	4803	25598
158	4831	25555
159	4861	25525
160	4891	25492
161	4931	25508
162	4958	25462
163	4989	25434
164	5020	25408
165	5060	25422
166	5096	25420
167	5127	25395
168	5151	25330
169	5183	25305
170	5217	25292
171	5240	25226
172	5278	25230
173	5312	25217
174	5341	25181
175	5371	25149
176	5397	25094
177	5433	25091
178	5465	25070
179	5496	25038
180	5523	24993
181	5568	25029
182	5593	24971
183	5624	24941
184	5650	24892
185	5669	24812
186	5705	24803
187	5730	24748
188	5750	24673
189	5780	24644
190	5809	24606
191	5838	24571
192	5871	24552
193	5897	24503
194	5926	24466
195	5953	24422
196	5979	24374
197	6013	24356
198	6039	24311
199	6062	24250
200	6095	24228
201	6123	24191
202	6149	24143
203	6178	24110
204	6209	24079
205	6232	24020
206	6256	23968
207	6291	23954
208	6327	23948
209	6353	23902
210	6407	23960
211	6423	23877
212	6438	23787
213	6452	23699
214	6467	23613
215	6482	23528
216	6511	23495
217	6531	23428
218	6553	23371
219	6585	23347
220	6610	23299
221	6630	23237
222	6662	23213
223	6694	23192
224	6729	23180
225	6758	23147
226	6794	23138
227	6820	23092
228	6857	23087
229	6895	23084
230	6923	23048
231	6968	23068
232	6995	23027
233	7021	22984
234	7048	22945
235	7091	22955
236	7115	22907
237	7151	22895
238	7186	22884
239	7210	22831
240	7245	22818
241	7272	22778
242	7299	22739
243	7335	22729
244	7362	22687
245	7391	22655
246	7439	22679
247	7451	22595
248	7466	22519
249	7481	22445
250	7493	22359
251	7506	222252	7505	22161
253	7535	22131
254	7568	22111
255	7596	22077
256	7623	22041
257	7652	22008
258	7676	21963
259	7713	21953
260	7745	21931
261	7776	21905
262	7796	21848
263	7826	21819
264	7865	21815
265	7896	21788
266	7925	21757
267	7961	21745
268	7993	21722
269	8023	21693
270	8055	21668
271	8078	21620
272	8103	21580
273	8134	21554
274	8169	21537
275	8198	21506
276	8233	21489
277	8273	21487
278	8302	21456
279	8330	21421
280	8357	21384
281	8385	21350
282	8415	21322
283	8443	21286
284	8482	21280
285	8513	21253
286	8541	21218
287	8566	21178
288	8603	21166
289	8640	21155
290	8678	21144
291	8711	21121
292	8740	21090
293	8766	21052
294	8797	21024
295	8831	21004
296	8867	20988
297	8903	20972
298	8935	20950
299	8959	20905
300	8985	20866
301	9015	20837
302	9050	20819
303	9078	20785
304	9117	20776
305	9145	20741
306	9176	20713
307	9223	20721
308	9251	20687
309	9281	20659
310	9315	20637
311	9349	20617
312	9377	20581
313	9417	20574
314	9451	20553
315	9490	20541
316	9519	20509
317	9543	20468
318	9580	20452
319	9621	20444
320	9654	20420
321	9684	20392
322	9714	20361
323	9737	20317
324	9764	20280
325	9788	20236
326	9806	20183
327	9838	20157
