iter	Passed	Remaining
0	172	172027
1	206	103122
2	241	80198
3	291	72591
4	328	65409
5	369	61247
6	420	59683
7	447	55475
8	483	53274
9	516	51085
10	552	49670
11	577	47539
12	610	46322
13	633	44599
14	668	43884
15	703	43272
16	734	42455
17	767	41852
18	794	41027
19	827	40525
20	854	39816
21	880	39133
22	909	38629
23	944	38405
24	986	38456
25	1019	38181
26	1051	37898
27	1084	37634
28	1119	37483
29	1152	37249
30	1177	36804
31	1207	36514
32	1235	36197
33	1263	35902
34	1288	35538
35	1323	35440
36	1358	35364
37	1388	35148
38	1427	35169
39	1453	34886
40	1485	34753
41	1524	34770
42	1558	34678
43	1587	34496
44	1616	34314
45	1655	34328
46	1684	34164
47	1711	33941
48	1737	33719
49	1769	33619
50	1804	33584
51	1832	33399
52	1864	33321
53	1897	33235
54	1927	33111
55	1958	33012
56	1988	32897
57	2025	32894
58	2060	32866
59	2098	32879
60	2143	32999
61	2187	33093
62	2215	32953
63	2251	32934
64	2290	32946
65	2320	32836
66	2342	32624
67	2370	32491
68	2402	32411
69	2428	32267
70	2457	32160
71	2489	32085
72	2522	32029
73	2565	32107
74	2606	32151
75	2632	32006
76	2661	31906
77	2696	31871
78	2723	31747
79	2765	31801
80	2806	31837
81	2849	31898
82	2882	31849
83	2913	31774
84	2951	31769
85	2989	31770
86	3022	31721
87	3059	31710
88	3086	31595
89	3117	31518
90	3141	31381
91	3172	31311
92	3195	31167
93	3234	31171
94	3262	31083
95	3287	30960
96	3314	30858
97	3345	30791
98	3380	30765
99	3410	30696
100	3439	30617
101	3463	30491
102	3503	30508
103	3527	30394
104	3566	30400
105	3594	30317
106	3625	30257
107	3665	30272
108	3690	30166
109	3724	30130
110	3756	30082
111	3790	30053
112	3817	29964
113	3841	29857
114	3876	29834
115	3915	29835
116	3944	29769
117	3974	29704
118	4001	29623
119	4033	29579
120	4065	29532
121	4099	29504
122	4139	29517
123	4176	29504
124	4200	29402
125	4226	29315
126	4268	29339
127	4305	29330
128	4349	29369
129	4386	29356
130	4427	29370
131	4471	29402
132	4513	29419
133	4554	29431
134	4602	29490
135	4635	29451
136	4668	29410
137	4710	29422
138	4746	29402
139	4792	29441
140	4830	29430
141	4874	29450
142	4920	29489
143	4936	29343
144	4952	29201
145	4967	29056
146	4984	289214147	4999	2877148	5099	29126
149	5128	29064
150	5168	29059
151	5204	29037
152	5248	29056
153	5291	29071
154	5333	29075
155	5373	29073
1156	5563	298721157	5609	298941158	5644	298541159	5683	298401160	5719	298061161	5753	297591162	5793	297511163	5819	296651164	5854	296261165	5893	296071166	5926	295601167	5965	295441168	6002	295161169	6035	294671170	6068	294191171	6107	293991172	6145	293781173	6186	29367
174	6214	292971175	6246	292471176	6285	29225
177	6322	29196
178	6363	29187
179	6404	29177
180	6439	29139
181	6472	29089
182	6511	29070
183	6548	29039
184	6588	29025
185	6627	29005
186	6658	28950
187	6689	28893
188	6725	28858
189	6763	28835
190	6804	28822
191	6836	28770
192	6865	28706
193	6901	28673
194	6934	28627
195	6973	28605
196	7000	28535
197	7036	284991198	7080	28501
199	7116	28464
200	7156	28448
201	7199	28441
202	7251	28469
203	7280	28408
204	7320	28387
205	7355	28351
206	7391	28317
207	7427	28282
208	7457	28224
209	7494	281922210	7528	281502211	7573	281512212	7615	281372213	7652	281052214	7704	281292215	7745	281112216	7784	280892217	7822	280612218	7864	280462219	7915	280622220	7972	28101
221	8015	280902222	8060	28085
223	8090	280262224	8128	279982225	8161	279522226	8196	27910
227	8228	278602228	8259	278072229	8303	27797
230	8339	27762
231	8370	27709
232	8419	27715
233	8455	27680
234	8491	27641
235	8534	27628
236	8560	27561
237	8598	27531
238	8634	27493
239	8674	27468
240	8710	27432
241	8751	27412
242	8785	27369
243	8823	27339
244	8856	27293
245	8879	27214
246	8913	27172
247	8950	27140
248	8982	270924249	9017	27053
250	9058	27032
251	9092	26988
252	9123	26938
253	9157	26896
254	9197	26869
255	9241	26857
256	9284	26841
257	9317	26797
258	9364	26793
259	9389	26724
260	9419	26671
261	9457	26640
262	9485	26581
263	9518	26536
264	9551	264926265	9586	264526266	9635	26452
267	9670	264126268	9710	26387
269	9749	263627270	9784	263127271	9825	26297
272	9865	26270
273	9917	26278
274	9957	26250
275	9988	26201
276	10024	26164
277	10080	26180
278	10148	26224
279	10191	26207
280	10232	26181
281	10267	26141
282	10314	26132
283	10385	26183
284	10424	26153
285	10464	26123
286	10506	26101
287	10545	26070
288	10589	26052
289	10623	26010
290	10662	25977
291	10696	25935
292	10742	25920
293	10779	25884
294	10816	25848
295	10848	25800
296	10887	25771
297	10927	25742
298	10961	25700
299	10997	25660
300	11025	25602
301	11069	25583
302	11094	25520
303	11133	25489
304	11170	25454
305	11200	25402
306	11236	25364
307	11267	25314
308	11303	25278
309	11342	25246
310	11368	25186
311	11406	25153
312	11453	25140
313	11489	25101
314	11519	25050
315	11554	25009
316	11589	24971
317	11634	24950
318	11666	24904
319	11710	24885
320	11747	24849
321	11790	24825
322	11824	24783
323	11860	24746
324	11902	24719
325	11940	24687
326	11975	24647
327	12007	24601
328	12044	24564
329	12080	24526
330	12116	24488
331	12147	24440
332	12177	24390
333	12204	24336
334	12241	24300
335	12275	24258
336	12311	24220
337	12345	24180
338	12381	24142
339	12429	24128
340	12462	24085
341	12498	24047
342	12533	24007
343	12578	23987
344	12619	23959
345	12652	23914
346	12698	23897
347	12744	23877
348	12801	23878
349	12855	23873
350	12898	23848
351	12950	23841
352	12988	23806
353	13023	23766
354	13061	23730
355	13106	23710
356	13143	23673
357	13177	23631
358	13214	23594
359	13253	23562
360	13289	23522
361	13330	23494
362	13365	23453
363	13405	23423
364	13446	23394
365	13480	23351
366	13511	23305
367	13548	23267
368	13582	23226
369	13619	23190
370	13653	23148
371	13690	23111
372	13735	23088
373	13766	23043
374	13806	23011
375	13843	22974
376	13879	22935
377	13914	22895
378	13947	22853
379	13974	22800
380	14011	22764
381	14053	22735
382	14096	22709
383	14136	22676
384	14166	22629
385	14204	22595
386	14239	22554
387	14278	22521
388	14315	22485
389	14357	22456
390	14393	22417
391	14433	22386
392	14470	22350
393	14505	22309
394	14541	22272
395	14578	22235
396	14607	22187
397	14641	22145
398	14673	22101
399	14704	22056
400	14742	22022
401	14777	21981
402	14819	21953
403	14843	21898
404	14871	21848
405	14900	21800
406	14938	21766
407	14993	21755
408	15032	21721
409	15068	21683
410	15115	21661
411	15150	21622
412	15180	21575
413	15223	21548
414	15259	21511
415	15302	21482
416	15351	21463
417	15385	21421
418	15420	21382
419	15457	21346
420	15512	21334
421	15548	21296
422	15580	21252
423	15624	21225
424	15653	21178
425	15699	21154
426	15731	21110
427	15764	21068
428	15798	21028
429	15830	20984
430	15871	20953
431	15903	20910
432	15940	20873
433	15977	20836
434	16014	20800
435	16046	20757
436	16087	20725
437	16119	20683
438	16151	20640
439	16184	20597
440	16221	20561
441	16264	20533
442	16300	20494
443	16343	20466
444	16382	20432
445	16418	20394
446	16456	20359
447	16497	20327
448	16532	20287
449	16570	20252
450	16598	20204
451	16634	20167
452	16662	20119
453	16710	20096
454	16742	20054
455	16778	20016
456	16808	19971
457	16858	19950
458	16906	19927
459	16942	19889
460	16977	19850
461	17018	19818
462	17055	19781
463	17092	19744
464	17132	19711
465	17164	19668
466	17197	19628
467	17233	19589
468	17266	19549
469	17307	19516
470	17341	19477
471	17373	19434
472	17424	19413
473	17468	19384
474	17504	19347
475	17552	19322
476	17588	19284
477	17631	19254
478	17676	19226
479	17703	19178
480	17748	19150
481	17792	19121
482	17837	19092
483	17874	19055
484	17918	19027
485	17960	18995
486	17998	18959
487	18049	18937
488	18086	18900
489	18128	18868
490	18159	18825
491	18210	18802
492	18252	18770
493	18292	18736
494	18335	18706
495	18369	18665
496	18409	18631
497	18446	18594
498	18480	18554
499	18512	18512
500	18552	18478
501	18581	18433
502	18623	18401
503	18658	18361
504	18699	18329
505	18729	18284
506	18768	18250
507	18802	18209
508	18836	18170
509	18871	18131
510	18900	18086
511	18936	18048
512	18964	18003
513	19001	17966
514	19033	17924
515	19063	17881
516	19103	17847
517	19135	17806
518	19170	17766
519	19207	17730
520	19240	17689
521	19274	17649
522	19310	17611
523	19354	17581
524	19387	17541
525	19428	17507
526	19462	17467
527	19497	17429
528	19529	17388
529	19564	17350
530	19604	17315
531	19640	17277
532	19674	17238
533	19729	17217
534	19766	17180
535	19805	17144
536	19840	17106
537	19875	17067
538	19916	17034
539	19959	17002
540	19996	16965
541	20033	16929
542	20068	16890
543	20118	16864
544	20151	16823
545	20187	16786
546	20230	16754
547	20272	16720
548	20320	16693
549	20370	16666
550	20410	16631
551	20441	16590
552	20488	16561
553	20539	16535
554	20589	16509
555	20645	16487
556	20686	16452
557	20722	16414
558	20764	16380
559	20805	16347
560	20835	16304
561	20869	16264
562	20897	16220
563	20941	16188
564	20978	16151
565	21020	16117
566	21055	16079
567	21084	16035
568	21113	15992
569	21149	15954
570	21185	15917
571	21232	15887
572	21266	15847
