iter	Logloss
0	0.6621865246
1	0.6347328765
2	0.609060765
3	0.5847596949
4	0.5625820908
5	0.5417570645
6	0.5224992123
7	0.5055987245
8	0.4894720775
9	0.4747132177
10	0.4608586551
11	0.4485097268
12	0.4374944602
13	0.4271618584114	0.4165933801115	0.407588047
16	0.3989175406
17	0.3906506707
18	0.3835668272
19	0.3766908899
20	0.370526424
21	0.3645194908
22	0.3595437201
23	0.3543287544
24	0.3530318082
25	0.3489530179
26	0.3412702734227	0.3374633222828	0.33376614329	0.3337765053
30	0.3302346505
31	0.3274388491
32	0.3251659594
33	0.3228372968
34	0.3203070025
35	0.3180844947
36	0.3158789232
37	0.3137819557
38	0.3116060947
39	0.3098271083
40	0.3079653
41	0.3065182006
42	42	0.302328743	043	0.300982244	044	0.299768945	045	0.298420246	046	0.297388347	047	0.296377848	048	0.295215849	049	0.294241950	050	0.293473951	51	0.2927154952	52	0.291778845353	0.2910323835454	0.2901896145555	0.289610504556	0.2889707743557	0.2881945539558	0.2874796424559	0.2868440355660	0.2862022062
61	0.2858752021
62	0.2852134293
63	0.2847300046
64	0.2842924596
65	0.2838544761
66	0.2833529282
67	0.2829563264
68	0.2825461262
69	0.2821921298
70	0.281828721
71	0.2815256192
72	0.2812173675
73	0.2808621549
74	0.2806419197
75	0.280381584
76	0.280113751
77	0.2798995105
78	0.2796066983
79	0.2793284263
80	0.2790115786
81	0.2788212187
82	0.2785364768
83	0.2782010453
84	0.2779915534
85	0.277806674
86	0.2776635723
87	0.2775153386
88	0.2773720181
89	0.277195515
90	0.2770490838
91	0.2769050855
92	0.2767457116
93	0.2765804466
94	0.2764065726
95	0.2761900108
96	0.2760390027
97	0.2758394798
98	0.2756682016
99	0.2755034567
100	0.2753555391
101	0.2751945564
102	0.2750866254
103	0.2748907303
104	0.2727789117
105	0.2725587782
106	0.2723587953
107	0.2722302033
108	0.2720452587
109	0.2720040714
110	0.2719245695
111	0.2717313045
112	0.2715359521
113	0.27146032981114	0.27137642911115	0.27118447811116	0.27105255117117	0.27089559118118	0.27077991119119	0.27066579120120	0.27060915121121	0.2704717122	122	0.2703439123	123	0.2702526124	124	0.2701161125	125	0.269999126	0126	0.269886127	0127	0.2697997485
128	0.2697068826
129	0.269646130	0130	0.26950131	0.131	0.2693132	0.2132	0.2693133	0.2133	0.269134	0.27134	0.269135	0.27135	0.269136	0.27136	0.268137	0.2714574052
138	0.2713255928
139	0.2712191819
140	0.2710951662
141	0.2710386509
142	0.2708682685
143	0.2707514196
144	0.2706866724
145	0.2145	0.2681146	0.2703532279
147	0.2147	0.2678148	0.2148	0.2677149	0.149	0.2676150	0.2150	0.2675151	0.151	0.26745152	0.152	0.26734153	0.2696332517
154	0.269542978
155	0.2694213487
156	0.2693422234
157	0.2692529386
158	0.2691742764
159	0.2691249731
160	0.2690162756
161	0.2689340214
162	0.2688785451
163	0.2688072762
164	0.268713762
165	0.2686352031
166	0.268512854
167	0.2684596342
168	0.2684092667
169	0.2683142145
170	0.268175655
171	0.2680759944
172	0.2680134715
173	0.26789993
174	0.2677729836
175	0.2677089153
176	0.2676793488
177	0.267618417
178	0.2675661672
179	0.2674710433
180	0.2674160743
181	0.2673682668
182	0.2672873013
183	0.2671611622
184	0.2670643306
185	0.2669665254
186	0.2669137518
187	0.2668839472
188	0.2668396392
189	0.2667713934
190	0.2667061446
191	0.2666389921
192	0.2665694017
193	0.2665185791
194	0.2664303855
195	0.2663743612
196	0.2663458749
197	0.266300648
198	0.2661925874
199	0.2661403248
200	0.2660956194
201	0.266201	0.2666110971
202	0.2665562541
203	0.2665068783
204	0.2664817064
205	0.266452018
206	0.2664125379
207	0.2663563158
208	0.2662892453
209	0.266223831
210	0.2661432304
211	0.2660937517
212	0.2660380603
213	0.2659958102
214	0.2659439648
215	0.2658612258
216	0.2658287311
217	0.26575101
218	0.2656797936
219	0.2656321644
220	0.2655835
221	0.265441193
222	0.265374625
223	0.2653245366
224	0.2653151526
225	0.2652595829
226	0.2652136504
227	0.2651820512
228	0.2651606626
229	0.2651378626
230	0.265081236
231	0.2650318546
232	0.2649366656
233	0.2648750459
234	0.2648441639
235	0.2647072004
236	0.2646631336
237	0.2646055754
238	0.2645074564
239	0.2644396136
240	0.2644043751
241	0.2643356961
242	0.2643096624
243	0.2642509331
244	0.2641906919
245	0.2641583531
246	0.2641131835
247	0.2640888375
248	0.2640084607
249	0.2638843191
250	0.263832015
251	0.263702574
252	0.2635903544
253	0.2635263915
254	0.2634721008
255	0.2633943832
256	0.2633430816
257	0.2633034532
258	0.263244013
259	0.2632140921
260	0.2631416502
261	0.2630837168
262	0.2629844114
263	0.2629423439
264	0.2628374297
265	0.262740937
266	0.2626734743
267	0.2626446536
268	0.2625186885
269	0.2624380249
270	0.2623933037
271	0.2623261658
272	0.2622552737
273	0.2621515988
274	0.2620853607
275	0.2620192699
276	0.261981779
277	0.2619384715
278	0.2618602125
279	0.2618156929
280	0.261723587
281	0.2616842286
282	0.2616361634
283	0.2615850087
284	0.2614696331
285	0.2614081443
286	0.2613729132
287	0.2612624316
288	0.2612105296
289	0.261171821
290	0.2611206446
291	0.2610710213
292	0.2610263239
293	0.2609639531
294	0.2608863499
295	0.2607810175
296	0.260726381
297	0.2606944735
298	0.2606377546
299	0.2606065408
300	0.2605624806
301	0.2604937903
302	0.2604507286
303	0.2603541621
304	0.2603069789
305	0.2602179175
306	0.2601200822
307	0.2600305737
308	0.2599322565
309	0.2598216735
310	0.2597586959
311	0.2596784844
312	0.2595989492
313	0.2595546995
314	0.2594947939
315	0.2594550116
316	0.2594101168
317	0.2593745411
318	0.2593100232
319	0.2592678047
320	0.2591808352
321	0.2591231973
322	0.259069078
323	0.2590470565
324	0.2589878193
325	0.2589416139
326	0.2588755179
327	0.2588134295
328	0.2587725303
329	0.2587334494
330	0.2586804594
331	0.2586243537
332	0.2586104994
333	0.2585670964
334	0.2585214028
335	0.2584143547
336	0.2583546558
337	0.2583109418
338	0.2582569884
339	0.2581939214
340	0.2581516206
341	0.2581145109
342	0.2580817015
343	0.25802736
344	0.2579938075
345	0.2579470394
346	0.257917468
347	0.2577971333
348	0.2577255869
349	0.2576515621
350	0.2575720423
351	0.2575254488
352	0.2574654554
353	0.2574151907
354	0.2573476703
355	0.2572379813
356	0.2571994337
357	0.2571568727
358	0.2571189997
359	0.2570747701
360	0.2570390016
361	0.2570020338
362	0.2569764984
363	0.2569099232
364	0.2568603963
365	0.2568006008
366	0.2567437659
367	0.2566556082
368	0.2566237926
369	0.2565904107
370	0.2565633861
371	0.2564935738
372	0.2564384804
373	0.2563493641
374	0.2562804314
375	0.2562336688
376	0.2561909292
377	0.256123576
378	0.2560435915
379	0.2560094801
380	0.2559660052
381	0.2558806247
